Date	Close				
03/05/2020	49344.05078				
04/05/2020	49880.33984				
05/05/2020	49749.55859				
06/05/2020	49633.76953				
09/05/2020	50416.26953				
10/05/2020	50023.98047				
11/05/2020	50187.48047				
12/05/2020	49653.14063				
13/05/2020	49547.67969				
16/05/2020	49488.48047				
17/05/2020	48884.17188				
18/05/2020	48595.37109				
19/05/2020	48711.85156				
20/05/2020	48971.14063				
23/05/2020	48848.73828				
24/05/2020	48895.80078				
25/05/2020	49254.98047				
26/05/2020	49693.21094				
27/05/2020	49611.92969				
30/05/2020	49398.57031				
31/05/2020	49661.82813				
01/06/2020	49590.78906				
02/06/2020	49510.78125				
03/06/2020	49344.28906				
06/06/2020	49417.21875				
07/06/2020	49651.55078				
08/06/2020	49606.07031				
09/06/2020	49646.91016				
10/06/2020	49504.16016				
13/06/2020	49841.46875				
14/06/2020	49376.5				
15/06/2020	49005.35156				
16/06/2020	48683.26172				
17/06/2020	48052.85156				
20/06/2020	48093.10156				
21/06/2020	48505.21875				
22/06/2020	48136.17969				
23/06/2020	47558.23047				
24/06/2020	47444.05078				
27/06/2020	47739.08984				
28/06/2020	48191.57031				
29/06/2020	47887.94922				
30/06/2020	47024.46094				
01/07/2020	47437.44922				
04/07/2020	46962.73828				
05/07/2020	46449.03125				
06/07/2020	45959.03906				
07/07/2020	46275.71094				
08/07/2020	45803.32813				
11/07/2020	43879.12891				
12/07/2020	43538.12109				
13/07/2020	43942.55078				
14/07/2020	45446.82813				
18/07/2020	46817.35938				
19/07/2020	46328.35156				
20/07/2020	46917.39844				
21/07/2020	44190.25				
22/07/2020	44263.73828				
25/07/2020	43310.01172				
26/07/2020	42421.32813				
27/07/2020	42343.96094				
28/07/2020	41450.64844				
29/07/2020	42319.26953				
02/08/2020	41797.37109				
03/08/2020	41499.92969				
04/08/2020	41271.12109				
05/08/2020	41144.32813				
08/08/2020	39427.28125				
09/08/2020	39807.28125				
10/08/2020	40989.48047				
11/08/2020	41913.44922				
12/08/2020	41732.78125				
15/08/2020	42081.78125				
16/08/2020	41865.07031				
17/08/2020	41895.26953				
18/08/2020	41987				
19/08/2020	41870.12891				
22/08/2020	41356.03906				
23/08/2020	40897.85156				
25/08/2020	41512.51172				
26/08/2020	41312.17188				
29/08/2020	40340.51172				
30/08/2020	40917.57031				
31/08/2020	41388.28125				
01/09/2020	41683.26953				
02/09/2020	41468.55859				
05/09/2020	41380.10938				
07/09/2020	41573.60938				
08/09/2020	41417.85156				
09/09/2020	41459.14844				
12/09/2020	41640.26953				
14/09/2020	42271.14063				
15/09/2020	42044.32031				
16/09/2020	42455.12891				
19/09/2020	42834.19922				
20/09/2020	43542.87109				
21/09/2020	43648.07031				
22/09/2020	43668.94922				
23/09/2020	43556.10938				
26/09/2020	43397.98047				
27/09/2020	43603.62109				
28/09/2020	43819.53125				
29/09/2020	43932.07813				
30/09/2020	44241.53906				
03/10/2020	44028.96094				
04/10/2020	43768.07813				
05/10/2020	43679.67188				
06/10/2020	43566.10938				
07/10/2020	43638.62109				
10/10/2020	43626.14844				
11/10/2020	43700.10156				
12/10/2020	43631.35938				
13/10/2020	43987.94141				
14/10/2020	43738.26953				
18/10/2020	44337.10156				
19/10/2020	43855.78906				
20/10/2020	43624.55078				
21/10/2020	43180.44922				
24/10/2020	43285.17188				
25/10/2020	43113.78906				
26/10/2020	42284.05859				
27/10/2020	42725.21875				
28/10/2020	42988.71875				
31/10/2020	42981.30859				
01/11/2020	42949.5				
02/11/2020	43178				
03/11/2020	43577.64063				
04/11/2020	43738.66016				
07/11/2020	43664.32813				
08/11/2020	43623.32813				
09/11/2020	43311.17969				
10/11/2020	42823.80859				
