Date	Close
20160107	40661.57
20160106	41691.19
20160105	42041.68
20160104	42113.7
20151231	42977.5
20151230	43012.37
20151229	43391.78
20151228	43396.16
20151224	43528.27
20151223	43579.67
20151222	43328.72
20151221	43160.61
20151218	42936.63
20151217	43503.52
20151216	43429.72
20151215	42905.2
20151214	41901.96
20151211	42000.63
20151210	42447.77
20151209	42398.06
20151208	42236.74
20151207	42655.24
20151204	42994.23
20151203	43027.3
20151202	43417.05
20151201	43984.9
20151130	43418.55
20151127	44247.98
20151126	44374.52
20151125	44138.75
20151124	44576.23
20151123	44779.14
20151120	44895.02
20151119	44620.6
20151118	44505.59
20151117	44184.65
20151113	43617.73
20151112	44120.52
20151111	44347.91
20151110	44359.89
20151109	44479.23
20151106	45243.85
20151105	45195.65
20151104	45373.17
20151103	45354.59
20151030	44542.76
20151029	44634.81
20151028	44741.68
20151027	44698.01
20151026	45036.52
20151023	45010.24
20151022	44627.97
20151021	44426.07
20151020	44653.86
20151019	44523.01
20151016	44364.16
20151015	44087.59
20151014	44064.43
20151013	44318.19
20151012	44314.25
20151009	44375.62
20151008	44076.94
20151007	43832.03
20151006	43561.42
20151005	43566.32
20151002	42735.15
20151001	42695.74
20150930	42632.54
20150929	42121.51
20150928	41893.51
20150925	42435.23
20150924	42596.56
20150923	43042.36
20150922	43232.06
20150921	43618.14
20150918	43565.05
20150917	43790.93
20150915	43269.62
20150914	42827.35
20150911	42780.73
20150910	42888.51
20150909	42754.68
20150908	43083.94
20150907	42756.26
20150904	42742.86
20150903	43283.47
20150902	42969.93
20150901	42911.51
20150831	43721.96
20150828	43290.86
20150827	43452.36
20150826	42323.04
20150825	42010.89
20150824	41471.47
20150821	42163.82
20150820	43036.59
20150819	43473.74
20150818	43872.12
20150817	43953.48
20150814	43746.72
20150813	43870.53
20150812	44032.38
20150811	44379.79
20150810	45320.69
20150807	44862.14
20150806	44921.22
20150805	44937.61
20150804	45177.98
20150803	44903.95
20150731	44752.93
20150730	44373.31
20150729	44471.29
20150728	44222.97
20150727	43713.72
20150724	44249.49
20150723	44836.33
20150722	44670.42
20150721	45401.23
20150720	45567.99
20150717	45325.38
20150716	45344.9
20150715	45107.13
20150714	45136.69
20150713	44990.39
20150710	44915.98
20150709	44564.32
20150708	44497.74
20150707	45017.75
20150706	44794.01
20150703	45065.47
20150702	45175.58
20150701	44928.52
20150630	45053.7
20150629	44710.35
20150626	45566.33
20150625	45377.12
20150624	45424.94
20150623	45454.15
20150622	45224.98
20150619	44973.41
20150618	45120.79
20150617	44826.17
20150616	44722.28
20150615	44395.76
20150612	44692.5
20150611	44624.71
20150610	44578.28
20150609	44519.21
20150608	44544.05
20150605	44561.94
20150604	44561.11
20150603	44732.72
20150602	44931.48
20150601	44760.1
20150529	44703.62
20150528	44807.31
20150527	44682.59
20150526	44401.4
20150525	44852.29
20150522	44874.04
20150521	45097.39
