DATE 	28	91	182	364	728	1092	1820	3640
20190804	0.188141	0.130514	0.115707	0.105	0.173	0.193025	0.225	0.285567
20190801	0.187957	0.130375	0.115627	0.105	0.173	0.193025	0.2215	0.274054
20190731	0.181025	0.125703	0.110755	0.0995	0.1655	0.193	0.2215	0.260949
20190730	0.173756	0.121449	0.104539	0.0895	0.146	0.185	0.221	0.248282
20190729	0.184678	0.129198	0.111491	0.0955	0.151	0.181	0.2125	0.245536
20190728	0.177889	0.123921	0.108295	0.09545	0.155	0.18105	0.2125	0.252648
20190725	0.178271	0.124207	0.108482	0.0955	0.155	0.181	0.2055	0.238333
20190724	0.165987	0.114664	0.102731	0.09545	0.161975	0.18105	0.19445	0.231449
20190723	0.178495	0.124589	0.108671	0.095	0.149525	0.1675	0.1895	0.229647
20190722	0.175353	0.122509	0.106521	0.0925	0.145	0.164	0.1865	0.224777
20190721	0.193089	0.136289	0.114791	0.0925	0.135	0.164	0.171	0.169908
20190718	0.19478	0.137604	0.115582	0.0925	0.134	0.164	0.176	0.178585
20190717	0.194702	0.137545	0.115548	0.0925	0.134	0.164	0.176	0.178116
20190716	0.19469	0.137536	0.115543	0.0925	0.134	0.164	0.176	0.178185
20190715	0.197184	0.139878	0.116091	0.09	0.125	0.1565	0.168475	0.163894
20190714	0.197103	0.139817	0.116055	0.09	0.125	0.1565	0.168475	0.164286
20190711	0.197103	0.139817	0.116055	0.09	0.125	0.1565	0.17	0.167274
20190710	0.197188	0.139882	0.116093	0.09	0.125	0.1565	0.17	0.167667
20190709	0.202926	0.144357	0.118796	0.09	0.12125	0.154875	0.17	0.16351
20190708	0.220183	0.157815	0.126925	0.09	0.11	0.15	0.1685	0.149445
20190707	0.217702	0.15497	0.127331	0.096	0.128	0.163	0.1755	0.164731
20190704	0.214063	0.152272	0.125335	0.095	0.128	0.163	0.1755	0.165491
20190703	0.206663	0.146465	0.122045	0.0955	0.133	0.1625	0.181	0.189172
20190702	0.247398	0.175897	0.145836	0.112	0.1465	0.17	0.181	0.186237
20190701	0.249262	0.17728	0.146854	0.1125	0.1465	0.17	0.181	0.185842
20190630	0.249215	0.177245	0.146834	0.1125	0.1465	0.17	0.18555	0.195956
20190627	0.264987	0.189502	0.154194	0.1125	0.1375	0.17	0.187	0.18007
20190626	0.264987	0.189502	0.154193	0.1125	0.1375	0.17	0.187	0.180073
20190625	0.265113	0.1896	0.154251	0.1125	0.13745	0.17	0.18695	0.179906
20190624	0.237993	0.16847	0.14151	0.1125	0.1545	0.175	0.184	0.195472
20190623	0.237948	0.168435	0.14149	0.1125	0.1545	0.175	0.184	0.195647
20190620	0.237814	0.168334	0.141432	0.1125	0.1545	0.17475	0.1825	0.192816
20190619	0.237947	0.168435	0.14149	0.1125	0.1545	0.175	0.1895	0.207937
20190618	0.251777	0.179237	0.148031	0.1125	0.145	0.17	0.195	0.213073
20190617	0.250167	0.177665	0.148031	0.115	0.151	0.17	0.205	0.245041
20190616	0.29968	0.21427	0.175217	0.129	0.1535	0.175	0.2065	0.231141
20190613	0.290701	0.207246	0.170952	0.129	0.16	0.179475	0.2175	0.257429
